CUIT,GLN,RAZON_SOCIAL,PAGE,PAGE_POS
30697441898,7798226330003,DISTRIBUIDORA SOLDADURA JUNIN SA,7,4
30503381407,7797290000003,DONATO ZURLO Y CIA SRL,7,5
30501190620,7795347000006,DR LAZAR Y CIA S A QUIMICA E INDUSTRIAL,7,6
30606801765,7798063280004,DRAWER S.A.,7,7
33708573189,9990374970003,DRIBURG COMPANY SA,7,8
30709874671,7798175480019,DROGUERIA APONOR S.A.,7,9
30644770865,9990440360004,DROGUERIA DRONOR S.A.,8,0
30631110203,9990475830008,DROGUERIA MEDICAL ARGENTINA S.R.L.,8,1
30652870445,9990474550006,DROGUERIA SAM S.A.,8,2
30712376887,9990452420000,DROMEX BIOTECH SA,8,3
30547309800,9990440590005,DROMICAP S.A.,8,4
30711499659,9990475770007,DUCILO S.A.,8,5
30609703985,7795990000002,ELI LILLY INTERAMERICA INC SUCURSAL ARGENTINA,8,6
30661753915,7794433000005,ELISIUM S.A.,8,7
30677835881,9990377640002,ENZIMAS S.A.,8,8
30606928692,7798064390009,EPICARIS SOCIEDAD ANONIMA,8,9
30700142643,7798113530004,ERIOCHEM S.A.,9,0
30647142970,9990475840007,ESTABLECIMIENTO MARIA DEL ROSARIO SRL,9,1
30540142714,9990377800000,ETHICAL PHARMA S.A.,9,2
30660637628,7798024440003,EURODERM SRL,9,3
30708388609,7798122340007,Eurofar SRL.,9,4
30531967093,7798016920001,EUROFARMA ARGENTINA S.A.,9,5
30521298495,7793236000007,EVEREX ARGENTINA S.A.,9,6
30714555150,9990475800001,EXPERIENTIA S.A.,9,7
30605951518,9990377810009,FAPROMED S.A.,9,8
30677262393,9990432500005,FARMA SYSTEM S.A.,9,9
30663411477,9990440480009,FARMACEUTICOS ARGENTINOS S.A.,10,0
33607215699,9990460630002,FARMAQUIM S.A.,10,1
30694454409,7798047980005,FERRER ARGENTINA SA,10,2
30504710412,7791171000007,FINADIET S.A.COM IND FIN E INMOB,10,3
30707279547,9990440420005,FLEMING S.A.,10,4
30504113422,7794428000003,FORTBENTON CO. LABORATORIES S.A.,10,5
30648171494,7798008190009,FRAMINGHAM PHARMA SRL,10,6
30709177385,7798161990003,FRANCELAB S A,10,7
30692971953,7798097940004,FRESENIUS KABI S.A.,10,8
30635815201,7798135620011,FRESENIUS MEDICAL CARE ARGENTINA SA,10,9
33709061629,9990377650001,FUNDACION CENTRO DIAGNOSTICO NUCLEAR,11,0
30709694223,7798006870002,G P PHARM SA,11,1
30500987185,7792183000009,GADOR S A,11,2
30682454926,7798007730008,GALDERMA ARGENTINA SA,11,3
30599251509,9990475960002,GASAVEL,11,4
30543989203,7798233850006,GASES COMPRIMIDOS S A,11,5
30601596322,9990442180006,GASTON GISCARD SRL,11,6
30705065167,7798163500002,GEMABIOTECH S.A.U.,11,7
30655078874,7798015900004,GEMEPE S A,11,8
30657674296,7798113700001,GEMINIS FARMACEUTICA S.A.,11,9
30709641871,9990433430004,GEN MED INTERNATIONAL L.L.C.,12,0
30710121954,7798140250005,GENOMMA LABORATORIES ARGENTINA S.A.,12,1
30707953329,9990440310009,GENPHARMA S.A.,12,2
30708484160,7798122020008,GENZYME DE ARGENTINA S.A.,12,3
30500781986,7792374000009,GERARDO RAMON Y CIA. S.A.I.C.,12,4
30517130032,7790104000008,GLAXOSMITHKLINE ARGENTINA SOCIEDAD ANONIMA,12,5
33687679909,7798088120002,GLENMARK GENERICS S.A.,12,6
30503270230,7795376000008,GOBBI NOVAG S.A.,12,7
33500619509,7791984000003,GRAMON MILLET S.A.,12,8
30650805441,7798019610008,GRIFOLS ARGENTINA S.A.,12,9
30661715665,7798034740001,GRIMBERG DENTALES S.A.,13,0
30694345456,9990460640001,GRUNENTHAL ARGENTINA S.A.,13,1
30501395389,7798218100003,GRUPO LINDE GAS ARGENTINA SA,13,2
30545591835,7798007120007,GUERBET ARGENTINA LIMITED,13,3
30698873325,9990475780006,H Y R ARGENTINA,13,4
30644703998,9990475720002,HIGIA,13,5
30708578599,7798081260002,HLB PHARMA GROUP S.A.,13,6
30709010634,9990475700004,IMMUNO S.A.,13,7
30546769239,9990440600001,INCASA S.A.,13,8
30643842722,7798076210005,INDURA ARGENTINA SA,13,9
33710094409,7798241900007,INGERICS S.A.,14,0
30548503546,9990460830006,INGRAM LABORATORIO S.A.,14,1
30607380356,7798018490007,INMUNOLAB SA,14,2
30501145315,7792796000007,INSTITUTO BIOLOGICO ARGENTINO S A I C,14,3
30645104060,7798178580006,INSTITUTO BIOLOGICO CONTEMPORANEO S.A.,14,4
30528919711,7795343000000,INSTITUTO MASSONE S. A.,14,5
33501112289,7795344000009,INSTITUTO SANITAS ARG S A,14,6
30501051825,7790839000007,INSTITUTO SEROTERAPICO ARGENTINO S.A.I.C.,14,7
30631421322,9990475650002,INTERBELLE COSMETICS S.A.,14,8
30547838307,7795380000001,INVESTI FARMA S A,14,9
30559807970,7798033100004,IRAOLA Y CIA S A,15,0
33501707029,7795326000003,IVAX ARGENTINA SOCIEDAD ANONIMA,15,1
30598129246,7791647000005,JANSSEN CILAG FARMACEUTICA SOCIEDAD ANONIMA,15,2
33597021319,9990474540007,JOHN WYETH LABORATORIOS S.A.,15,3
30598498500,9990377660000,JOHNSON & JOHNSON MEDICAL S.A.,15,4
30500572309,7790011000009,JOHNSON Y JOHNSON DE ARGENTINA S A COM E IND,15,5
30658893633,7798236560001,JUSTESA IMAGEN ARGENTINA SA,15,6
33708488939,7798131890005,KILAB S.R.L.,15,7
30574564367,7795360000007,KLONAL S R L,15,8
30654926243,9990390990009,LA SERRANITA S.A.,15,9
20013906379,9990440350005,LABINCA,16,0
30706244413,7798086730005,LABOPHARMA PHARMACEUTICAL GROUP SA,16,1
33559584229,9990433200003,LABORATORIO ARGENMEX S.A.,16,2
30708121688,9990433440003,LABORATORIO ARGENTINO DE MEDICAMENTOS S.A.,16,3
30646015355,7798011650002,LABORATORIO AUSTRAL S A,16,4
30716383179,9990552250002,LABORATORIO CELTYC S.A.,16,5
30707838333,9990474500001,LABORATORIO CORBAPLANT,16,6
30530611171,9990432510004,LABORATORIO CULTURAL ABADIA DEL NIÑO DIOS ASOCIACION CIVIL,16,7
30709716561,9990440250008,LABORATORIO DE ELECTROQUIMICA MEDICA S.R.L.,16,8
30663181838,9990385250002,LABORATORIO DE ESPECIALIDADES MEDICINALES FORMOSA SA LAFORMED S A,16,9
30698237097,7798179350004,Laboratorio de Especialidades Medicinales S.E.,17,0
30715647822,7798326190002,LABORATORIO DEL FIN DEL MUNDO SAPEM,17,1
30663785091,9990402810004,LABORATORIO DICOFAR SRL,17,2
30529900747,7795327000002,LABORATORIO DOMINGUEZ S A,17,3
33580025779,7798061750004,LABORATORIO DOSA S.A.,17,4
30697736154,7797416000009,LABORATORIO ECZANE PHARMA S A,17,5
30651995708,7792369000007,LABORATORIO EDGARDO JORGE GEZZI,17,6
30544640212,7791848000002,LABORATORIO ELEA PHOENIX S.A.,17,7
30525591855,7798024740004,LABORATORIO FARMACEUTICO ARGENTINO S.A.,17,8
30537234845,7798006300004,LABORATORIO FECOFAR DE LA FEDERACION ARGENTINA DE COOPERATIVAS FARMACEUTICAS COOP.LTDA.,17,9
33605870649,9990475810000,LABORATORIO HEXA S.A.,18,0
30661399240,7795364000003,LABORATORIO INCAICO SA,18,1
30707618716,7798181660009,LABORATORIO INDUSTRIAL FARMACEUTICO SOCIEDAD DEL ESTADO,18,2
30501676892,7793569000002,LABORATORIO INTERNACIONAL ARGENTINO S.A.,18,3
30708694173,7798180920005,LABORATORIO KEMEX S.A.,18,4
30710548567,9990380980003,LABORATORIO LABORIT SRL,18,5
30662998970,9990381030004,LABORATORIO LEPETIT S.A.,18,6
30661728597,7795367000000,LABORATORIO LKM S.A.,18,7
30584077472,9990460650000,LABORATORIO MI FLORA S.R.L.,18,8
30643183079,9990475890002,LABORATORIO NEW PHARMA S.A.,18,9
33708246269,7798113690005,LABORATORIO OMICRON S.A.,19,0
30525858274,7795373000001,LABORATORIO PABLO CASSARA S R L,19,1
30618834995,9990433410006,LABORATORIO PHARMAGREEN,19,2
30709502235,7798156390009,LABORATORIO PRETORIA SRL,19,3
30708567929,7798124760001,LABORATORIO Q-PHARMA ARGENTINA S.A.,19,4
30605962226,9990433190007,LABORATORIO RIGO S.A.,19,5
20335766084,9990440370003,LABORATORIO ROMECA,19,6
30709577812,7798239770001,Laboratorio Rontag S.A.,19,7
30678715022,9990474580003,LABORATORIO SAN ROQUE S.A.,19,8
30712481656,7798142290009,LABORATORIO SCHAFER S.A.,19,9
30661469192,7795372000002,LABORATORIO VANNIER S.A.,20,0
30682667709,7798035310005,LABORATORIO VARIFARMA S.A.,20,1
30604385608,9990474620006,LABORATORIO WALKER S.R.L.,20,2
30501555149,9990493690004,LABORATORIO YORK S.A.I.C.F.I.,20,3
30708940786,9990440330007,LABORATORIOS  ASMOPUL  S.A.,20,4
30590151943,9990475710003,LABORATORIOS ADESIL S.A.,20,5
30504507323,7793742000003,LABORATORIOS ANDROMACO SOCIEDAD ANONIMA INDUSTRIAL COMERCIAL INMOBILIARIA,20,6
30561989865,7798081760007,LABORATORIOS APOLO SA,20,7
30610562228,7798083520005,LABORATORIOS ASPEN S.A.,20,8
30570760897,7798133450009,LABORATORIOS BACON S A I C,20,9
30516024840,7790375000004,LABORATORIOS BAGO S A,21,0
30516922164,9990475820009,LABORATORIOS BEAUTEMPS S.A.,21,1
30500547290,7792175000000,LABORATORIOS BERNABO SOCIEDAD ANONIMA,21,2
30501521880,7795328000001,LABORATORIOS BETA SOCIEDAD ANONIMA,21,3
33645293989,9990453230004,LABORATORIOS BRITANIA SA,21,4
30539932183,7791992000002,LABORATORIOS BUXTON S.A.,21,5
33644313749,7795359000001,LABORATORIOS CABUCHI S.A.,21,6
30501596082,7791909000002,LABORATORIOS CASASCO S A I C,21,7
30580271479,9990440410006,LABORATORIOS CELTIA S.A.,21,8
30504392496,7795330000006,LABORATORIOS CETUS SRL,21,9
30658919403,9990440620009,LABORATORIOS CORDOBA S.A.,22,0
30536237778,7795331000005,LABORATORIOS DALLAS S.A.,22,1
30500671013,7798028620005,LABORATORIOS DR MADAUS Y CO S.A.,22,2
30520581258,7795361000006,LABORATORIOS DUNCAN SA,22,3
33504284439,9990433380002,LABORATORIOS ESME S.A.I.C.,22,4
30633895208,9990433210002,LABORATORIOS ESSEX S.A.,22,5
33702248189,7798074280000,LABORATORIOS EXCELENTIA SA,22,6
30534475795,7795332000004,LABORATORIOS FABRA S.A.,22,7
30538883529,7793094000003,LABORATORIOS FELIPE BAJER SAIC,22,8
30503746235,7798025130002,LABORATORIOS FERRING SOCIEDAD ANONIMA,22,9
