N° Certificado|Laboratorio|Nombre Comercial|Forma Farmacéutica|Presentación|Precio Venta al Público| (uso exclusivamente hospitalario - muestra médica - no venta al público)| (muestra médica - no venta al público)| (uso exclusivamente hospitalario - muestra médica)| (uso exclusivamente hospitalario - no venta al público)| (uso exclusivamente hospitalario)| (muestra médica)| (no venta al público)|GTIN|Genérico|Genérico[IFA,Cantidad,Unidad]
38778|ABBOTT LABORATORIES ARGENTINA S.A.|KLARICID 500 MG|COMPRIMIDO| BLISTER por 16 UNIDADES |$344.66|0|0|0|0|0|0|0|07790440321423|CLARITROMICINA 500 MG |[['CLARITROMICINA', '500', 'MG']]
38638|ABBOTT LABORATORIES ARGENTINA S.A.|VALCOTE SPRINKLE|CAPSULA| ENVASE por 50 UNIDADES |$384.39|0|0|0|0|0|0|0|07790440120446|DIVALPROATO SODICO 134.5 MG |[['DIVALPROATO SODICO', '134.5', 'MG']]
35278|ABBOTT LABORATORIES ARGENTINA S.A.|IRUXOL|UNGÜENTO DERMICO|1 ENVASE por 30 G |$411.34|0|0|0|0|0|0|0|07790440512029|CLORANFENICOL 1 G + COLAGENASA 60 UI |[['CLORANFENICOL', '1', 'G'], ['COLAGENASA', '60', 'UI']]
38638|ABBOTT LABORATORIES ARGENTINA S.A.|VALCOTE 250 MG|COMPRIMIDO RECUBIERTO| FRASCO por 50 UNIDADES |$414.42|0|0|0|0|0|0|0|07790440621424|DIVALPROATO SODICO 269.06 MG |[['DIVALPROATO SODICO', '269.06', 'MG']]
35702|ABBOTT LABORATORIES ARGENTINA S.A.|NORMORYTMIN 300 MG|COMPRIMIDO RECUBIERTO| BLISTER por 20 UNIDADES |$424.30|0|0|0|0|0|0|0|07790440409718|PROPAFENONA 300 MG |[['PROPAFENONA', '300', 'MG']]
46634|ABBOTT LABORATORIES ARGENTINA S.A.|TIADYL 8 MG|COMPRIMIDO| BLISTER por 30 UNIDADES |$426.86|0|0|0|0|0|0|0|07790440450628|CANDESARTAN CILEXETIL 8 MG |[['CANDESARTAN CILEXETIL', '8', 'MG']]
57022|ABBOTT LABORATORIES ARGENTINA S.A.|LUVOX |COMPRIMIDO RECUBIERTO| BLISTER por 30 UNIDADES |$437.29|0|0|0|0|0|0|0|08002660010728|FLUVOXAMINA MALEATO 100 MG |[['FLUVOXAMINA MALEATO', '100', 'MG']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 10000|CAPSULA|1 FRASCO por 50 UNIDADES |$442.45|0|0|0|0|0|0|0|07790440531310|AMILASA 8000 U PH EUR + LIPASA 10000 U PH EUR + PROTEASA 600 U PH EUR |[['AMILASA', '8000', 'U PH EUR'], ['LIPASA', '10000', 'U PH EUR'], ['PROTEASA', '600', 'U PH EUR']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 25000|CAPSULA|1 FRASCO por 20 UNIDADES |$466.06|0|0|0|0|0|0|0|08002660011848|AMILASA 18000 U PH EUR + LIPASA 25000 U PH EUR + PROTEASA 1000 U PH EUR |[['AMILASA', '18000', 'U PH EUR'], ['LIPASA', '25000', 'U PH EUR'], ['PROTEASA', '1000', 'U PH EUR']]
55154|ABBOTT LABORATORIES ARGENTINA S.A.|CONTROLIP|CAPSULA| BLISTER por 30 UNIDADES |$481.43|0|0|0|0|0|0|0|07790440207628|FENOFIBRATO MICRONIZADO 160 MG |[['FENOFIBRATO MICRONIZADO', '160', 'MG']]
35702|ABBOTT LABORATORIES ARGENTINA S.A.|NORMORYTMIN 150 MG|COMPRIMIDO RECUBIERTO| BLISTER por 50 UNIDADES |$483.96|0|0|0|0|0|0|0|07790440409626|PROPAFENONA 150 MG |[['PROPAFENONA', '150', 'MG']]
31804|ABBOTT LABORATORIES ARGENTINA S.A.|ISOPTINO MD|COMPRIMIDO RECUBIERTO DE LIBERACIÓN PROLONGADA| ENVASE por 30 UNIDADES |$507.68|0|0|0|0|0|0|0|07790440408117|VERAPAMILO CLORHIDRATO 240 MG |[['VERAPAMILO CLORHIDRATO', '240', 'MG']]
38638|ABBOTT LABORATORIES ARGENTINA S.A.|VALCOTE ER 250|COMPRIMIDO DE LIBERACION CONTROLADA|1 FRASCO por 50 UNIDADES |$518.72|0|0|0|0|0|0|0|07790440382622|DIVALPROATO SODICO 269.1 MG |[['DIVALPROATO SODICO', '269.1', 'MG']]
49917|ABBOTT LABORATORIES ARGENTINA S.A.|TIADYL PLUS|COMPRIMIDO| BLISTER por 30 UNIDADES |$576.17|0|0|0|0|0|0|0|07790440496725|HIDROCLOROTIAZIDA 12.5 MG + CANDESARTAN CILEXETIL 16 MG |[['HIDROCLOROTIAZIDA', '12.5', 'MG'], ['CANDESARTAN CILEXETIL', '16', 'MG']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 10000|CAPSULA|1 FRASCO por 50 UNIDADES |$597.30|0|0|0|0| (uso exclusivamente hospitalario)|0|0|08002660011787|AMILASA 8000 U PH EUR + LIPASA 10000 U PH EUR + PROTEASA 600 U PH EUR |[['AMILASA', '8000', 'U PH EUR'], ['LIPASA', '10000', 'U PH EUR'], ['PROTEASA', '600', 'U PH EUR']]
55109|ABBOTT LABORATORIES ARGENTINA S.A.|DICETEL|COMPRIMIDO RECUBIERTO| BLISTER por 60 UNIDADES |$620.26|0|0|0|0|0|0|0|08002660011817|BROMURO DE PINAVERIO 100 MG |[['BROMURO DE PINAVERIO', '100', 'MG']]
46634|ABBOTT LABORATORIES ARGENTINA S.A.|TIADYL 16 MG|COMPRIMIDO| BLISTER por 30 UNIDADES |$640.20|0|0|0|0|0|0|0|07790440450727|CANDESARTAN CILEXETIL 16 MG |[['CANDESARTAN CILEXETIL', '16', 'MG']]
35278|ABBOTT LABORATORIES ARGENTINA S.A.|IRUXOL|UNGÜENTO DERMICO|1 ENVASE por 50 G |$666.79|0|0|0|0|0|0|0|07790440512036|CLORANFENICOL 1 G + COLAGENASA 60 UI |[['CLORANFENICOL', '1', 'G'], ['COLAGENASA', '60', 'UI']]
38638|ABBOTT LABORATORIES ARGENTINA S.A.|VALCOTE 500 MG|COMPRIMIDO RECUBIERTO| FRASCO por 50 UNIDADES |$730.84|0|0|0|0|0|0|0|07790440621523|DIVALPROATO SODICO 538.1 MG |[['DIVALPROATO SODICO', '538.1', 'MG']]
38638|ABBOTT LABORATORIES ARGENTINA S.A.|VALCOTE SPRINKLE|CAPSULA| ENVASE por 100 UNIDADES |$736.12|0|0|0|0|0|0|0|07790440120453|DIVALPROATO SODICO 134.5 MG |[['DIVALPROATO SODICO', '134.5', 'MG']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 25000|CAPSULA|1 FRASCO por 50 UNIDADES |$785.63|0|0|0|0| (uso exclusivamente hospitalario)|0|0|08002660011831|AMILASA 18000 U PH EUR + LIPASA 25000 U PH EUR + PROTEASA 1000 U PH EUR |[['AMILASA', '18000', 'U PH EUR'], ['LIPASA', '25000', 'U PH EUR'], ['PROTEASA', '1000', 'U PH EUR']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 10000|CAPSULA|1 FRASCO por 100 UNIDADES |$800.17|0|0|0|0|0|0|0|07790440531327|AMILASA 8000 U PH EUR + LIPASA 10000 U PH EUR + PROTEASA 600 U PH EUR |[['AMILASA', '8000', 'U PH EUR'], ['LIPASA', '10000', 'U PH EUR'], ['PROTEASA', '600', 'U PH EUR']]
35702|ABBOTT LABORATORIES ARGENTINA S.A.|NORMORYTMIN 300 MG|COMPRIMIDO RECUBIERTO| BLISTER por 50 UNIDADES |$904.07|0|0|0|0|0|0|0|07790440409725|PROPAFENONA 300 MG |[['PROPAFENONA', '300', 'MG']]
38638|ABBOTT LABORATORIES ARGENTINA S.A.|VALCOTE ER 500 |COMPRIMIDO DE LIBERACION CONTROLADA|1 FRASCO por 50 UNIDADES |$914.83|0|0|0|0|0|0|0|07790440712627|DIVALPROATO SODICO 538.1 MG |[['DIVALPROATO SODICO', '538.1', 'MG']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 25000|CAPSULA|1 FRASCO por 50 UNIDADES |$1,060.60|0|0|0|0|0|0|0|07790440512425|AMILASA 18000 U PH EUR + LIPASA 25000 U PH EUR + PROTEASA 1000 U PH EUR |[['AMILASA', '18000', 'U PH EUR'], ['LIPASA', '25000', 'U PH EUR'], ['PROTEASA', '1000', 'U PH EUR']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 10000|CAPSULA|1 FRASCO por 100 UNIDADES |$1,080.22|0|0|0|0| (uso exclusivamente hospitalario)|0|0|08002660011770|AMILASA 8000 U PH EUR + LIPASA 10000 U PH EUR + PROTEASA 600 U PH EUR |[['AMILASA', '8000', 'U PH EUR'], ['LIPASA', '10000', 'U PH EUR'], ['PROTEASA', '600', 'U PH EUR']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 25000|CAPSULA|1 FRASCO por 100 UNIDADES |$1,415.73|0|0|0|0| (uso exclusivamente hospitalario)|0|0|08002660011763|AMILASA 18000 U PH EUR + LIPASA 25000 U PH EUR + PROTEASA 1000 U PH EUR |[['AMILASA', '18000', 'U PH EUR'], ['LIPASA', '25000', 'U PH EUR'], ['PROTEASA', '1000', 'U PH EUR']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 25000|CAPSULA|1 FRASCO por 100 UNIDADES |$1,911.24|0|0|0|0|0|0|0|07790440512432|AMILASA 18000 U PH EUR + LIPASA 25000 U PH EUR + PROTEASA 1000 U PH EUR |[['AMILASA', '18000', 'U PH EUR'], ['LIPASA', '25000', 'U PH EUR'], ['PROTEASA', '1000', 'U PH EUR']]
38638|ABBOTT LABORATORIES ARGENTINA S.A.|VALCOTE IV|SOLUCION INYECTABLE|10 FRASCO AMPOLLA por 5 ML |$2,285.82|0|0|0|0|0|0|0|07790440156414|ACIDO VALPROICO 100 MG / ML |[['ACIDO VALPROICO', '100', 'MG / ML']]
41928|ABBOTT LABORATORIES ARGENTINA S.A.|CREON 5000|MICROESFERAS GASTRORRESISTENTES|1 FRASCO por 20 G + cuchara dosificadora||0|0|0|0|0|0|0|08002660028976|PANCREATINA 60.12 MG / 100 MG |[['PANCREATINA', '60.12', 'MG / 100 MG']]
59320|ABBOTT LABORATORIES ARGENTINA S.A.|INFLUVAC TETRA|SUSPENSION INYECTABLE|1 JERINGA PRELLENADA por 0.5 ML ||0|0|0|0|0|0|0|08002660035653|A/Victoria/2570/2019 (H1N1) - (cepa análoga: A/Victoria/2570/2019, IVR-215) 15 MCG HA + A/Hong Kong/...|[['A/Victoria/2570/2019 (H1N1) - (cepa análoga: A/Victoria/2570/2019, IVR-215)', '15', 'MCG HA'], ['A/Hong Kong/2671/2019 (H3N2) - (cepa análoga: A/Hong Kong/2671/2019, IVR-208)', '15', 'MCG HA'], ['B/PHUKET/3073/2013 - CEPA DERIVADA USADA (B/PHUKET/3073/2013, TIPO SALVAJE) ', '15', 'MCG HA'], ['Cepas Virus Influenza Tipo B: B/Washington/02/2019 (cepa derivada usada: B/ Washington/02/2019, Wild Type)', '15', 'MCG HA']]
59342|ABBOTT LABORATORIES ARGENTINA S.A.|RIVACRIST|COMPRIMIDO RECUBIERTO| BLISTER por 15 UNIDADES ||0|0|0|0|0|0|0|07790440127612|RIVAROXABAN 10 MG |[['RIVAROXABAN', '10', 'MG']]
59342|ABBOTT LABORATORIES ARGENTINA S.A.|RIVACRIST|COMPRIMIDO RECUBIERTO| BLISTER por 30 UNIDADES ||0|0|0|0|0|0|0|07790440127728|RIVAROXABAN 15 MG |[['RIVAROXABAN', '15', 'MG']]
59342|ABBOTT LABORATORIES ARGENTINA S.A.|RIVACRIST|COMPRIMIDO RECUBIERTO| BLISTER por 30 UNIDADES ||0|0|0|0|0|0|0|07790440127834|RIVAROXABAN 20 MG |[['RIVAROXABAN', '20', 'MG']]
45183|ABBVIE SA|RITONAVIR ABBVIE|COMPRIMIDO RECUBIERTO|1 BOTELLA por 30 UNIDADES |$3,429.38|0|0|0|0|0|0|0|08054083005003|RITONAVIR 100 MG |[['RITONAVIR', '100', 'MG']]
58111|ABBVIE SA|VENCLEXTA|COMPRIMIDO RECUBIERTO| BLISTER por 14 UNIDADES |$14,692.76|0|0|0|0|0|0|0|08054083013329|VENETOCLAX 10 MG |[['VENETOCLAX', '10', 'MG']]
41241|ABBVIE SA|SURVANTA|SUSPENSION INTRATRAQUEAL|1 FRASCO AMPOLLA por 4 ML |$15,441.94|0|0|0|0|0|0|0|08054083009032|SURFACTANTE 25 MG / ML |[['SURFACTANTE', '25', 'MG / ML']]
49719|ABBVIE SA|ZEMPLAR|INYECTABLE PARA PERFUSION|5 AMPOLLA por 1 ML |$15,795.02|0|0|0|0|0|0|0|08054083003566|PARICALCITOL 5 MCG / ML |[['PARICALCITOL', '5', 'MCG / ML']]
49719|ABBVIE SA|ZEMPLAR|INYECTABLE PARA PERFUSION|5 FRASCO AMPOLLA por 1 ML (TIPO FLIPTOP)|$15,795.02|0|0|0|0|0|0|0|08054083014258|PARICALCITOL 5 MCG / ML |[['PARICALCITOL', '5', 'MCG / ML']]
44369|ABBVIE SA|SEVORANE|SOLUCION PARA INHALAR| FRASCO por 250 ML (CON ADAPTADOR / QUICKFILL)|$17,198.91|0|0|0|0|0|0|0|08054083015163|SEVOFLURANO 100 % |[['SEVOFLURANO', '100', '%']]
44369|ABBVIE SA|SEVORANE|SOLUCION PARA INHALAR| FRASCO por 250 ML |$17,198.91|0|0|0|0|0|0|0|08054083015156|SEVOFLURANO 100 % |[['SEVOFLURANO', '100', '%']]
49278|ABBVIE SA|KALETRA|COMPRIMIDO RECUBIERTO|1 BOTELLA por 60 UNIDADES |$18,910.69|0|0|0|0|0|0|0|08054083003382|LOPINAVIR 100 MG + RITONAVIR 25 MG |[['LOPINAVIR', '100', 'MG'], ['RITONAVIR', '25', 'MG']]
49278|ABBVIE SA|KALETRA|SOLUCION ORAL|1 FRASCO por 160 ML |$20,192.55|0|0|0|0|0|0|0|08054083006406|LOPINAVIR 80 MG / 1 ML + RITONAVIR 20 MG / 1 ML |[['LOPINAVIR', '80', 'MG / 1 ML'], ['RITONAVIR', '20', 'MG / 1 ML']]
41241|ABBVIE SA|SURVANTA|SUSPENSION INTRATRAQUEAL|1 FRASCO AMPOLLA por 8 ML |$23,186.31|0|0|0|0|0|0|0|08054083004105|SURFACTANTE 25 MG / ML |[['SURFACTANTE', '25', 'MG / ML']]
49719|ABBVIE SA|ZEMPLAR|CAPSULA DURA|1 FRASCO por 30 UNIDADES |$34,692.27|0|0|0|0|0|0|0|08054083012032|PARICALCITOL 2 MCG |[['PARICALCITOL', '2', 'MCG']]
58111|ABBVIE SA|VENCLEXTA|COMPRIMIDO RECUBIERTO| BLISTER por 7 UNIDADES |$36,731.82|0|0|0|0|0|0|0|08054083013312|VENETOCLAX 50 MG |[['VENETOCLAX', '50', 'MG']]
49278|ABBVIE SA|KALETRA|COMPRIMIDO RECUBIERTO|1 BOTELLA por 120 UNIDADES |$42,790.89|0|0|0|0|0|0|0|08054083003474|LOPINAVIR 200 MG + RITONAVIR 50 MG |[['LOPINAVIR', '200', 'MG'], ['RITONAVIR', '50', 'MG']]
50824|ABBVIE SA|HUMIRA AC|SOLUCION INYECTABLE|2 JERINGA PRELLENADA por 0.2 ML |$83,510.85|0|0|0|0|0|0|0|08054083017068|ADALIMUMAB 20 MG / 0.2 ML |[['ADALIMUMAB', '20', 'MG / 0.2 ML']]
50824|ABBVIE SA|HUMIRA AC PEN|SOLUCION INYECTABLE|1 LAPICERA PRELLENADA por 0.8 ML |$157,434.06|0|0|0|0|0|0|0|08054083017648|ADALIMUMAB 80 MG / 0.8 ML |[['ADALIMUMAB', '80', 'MG / 0.8 ML']]
50824|ABBVIE SA|HUMIRA AC PEN|SOLUCION INYECTABLE|2 LAPICERA PARA INYECCIÓN por 0.4 ML |$167,021.80|0|0|0|0|0|0|0|08054083014050|ADALIMUMAB 40 MG / 0.4 ML |[['ADALIMUMAB', '40', 'MG / 0.4 ML']]
59139|ABBVIE SA|RINVOQ|COMPRIMIDO RECUBIERTO DE LIBERACIÓN PROLONGADA| FRASCO por 30 UNIDADES |$169,455.62|0|0|0|0|0|0|0|08054083018706|UPADACITINIB 15 MG |[['UPADACITINIB', '15', 'MG']]
58111|ABBVIE SA|VENCLEXTA|COMPRIMIDO RECUBIERTO|1 ENVASE por 14 UNIDADES por 10 MG (SEMANA 1) + 1 ENVASE CON 7 UNIDADES por 50 MG (SEMANA 2) + 1 ENVASE CON 7  UNIDADES por 100 MG (SEMANA 3) + 1 ENVASE CON 14 UNIDADES por 100 MG (SEMANA 4)\n|$254,518.09|0|0|0|0|0|0|0|08054083013343|VENETOCLAX 50 MG + VENETOCLAX 100 MG + VENETOCLAX 10 MG |[['VENETOCLAX', '50', 'MG'], ['VENETOCLAX', '100', 'MG'], ['VENETOCLAX', '10', 'MG']]
59097|ABBVIE SA|SKYRIZI|SOLUCION INYECTABLE|2 JERINGA PRELLENADA por 75 MG de RIZANKIZUMAB en 0.83 ML DE SOLUCIÓN + 2 APOSITOS EMBEBIDOS EN ALCOHOL.|$547,721.25|0|0|0|0|0|0|0|08054083018980|RISANKIZUMAB 75 MG / 0,83 ML |[['RISANKIZUMAB', '75', 'MG / 0,83 ML']]
58111|ABBVIE SA|VENCLEXTA|COMPRIMIDO RECUBIERTO|1 BOTELLA por 120 UNIDADES |$1,179,263.75|0|0|0|0|0|0|0|08054083013336|VENETOCLAX 100 MG |[['VENETOCLAX', '100', 'MG']]
58618|ABBVIE SA|MAVIRET|COMPRIMIDO RECUBIERTO| BLISTER por 84 UNIDADES |$1,198,284.28|0|0|0|0|0|0|0|08054083015330|GLECAPREVIR 100 MG + PIBRENTASVIR    40 MG |[['GLECAPREVIR', '100', 'MG'], ['PIBRENTASVIR   ', '40', 'MG']]
51289|AIR LIQUIDE ARGENTINA S A|NITROGENO MEDICINAL.|GAS MEDICINAL|1 CILINDRO METALICO por 6 M3 ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||NITROGENO 99.5 % V/V |[['NITROGENO', '99.5', '% V/V']]
51289|AIR LIQUIDE ARGENTINA S A|NITROGENO MEDICINAL.|GAS MEDICINAL|1 CILINDRO METALICO por 10 M3 ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||NITROGENO 99.5 % V/V |[['NITROGENO', '99.5', '% V/V']]
51288|AIR LIQUIDE ARGENTINA S A|AIRE SINTETICO MEDICINAL|GAS MEDICINAL|1 CILINDRO METALICO por 1 M3 ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||OXIGENO 20.9 % V/V |[['OXIGENO', '20.9', '% V/V']]
51288|AIR LIQUIDE ARGENTINA S A|AIRE SINTETICO MEDICINAL|GAS MEDICINAL|1 CILINDRO METALICO por 5.5 M3 ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||OXIGENO 20.9 % V/V |[['OXIGENO', '20.9', '% V/V']]
52083|AIR LIQUIDE ARGENTINA S A|OXIGENO MEDICINAL 99.5 % (V/V)|GAS MEDICINAL|1 TERMO CRIOGENICO por 150.28 LITROS ||0|0|0| (uso exclusivamente hospitalario - no venta al público)|0|0|0||OXIGENO 99.5 % V/V |[['OXIGENO', '99.5', '% V/V']]
